"Step","MNIST_No-rotation_Ponder - val/steps","MNIST_No-rotation_Ponder - val/steps__MIN","MNIST_No-rotation_Ponder - val/steps__MAX"
"783","6.058433532714844","6.058433532714844","6.058433532714844"
"788","5.699799060821533","5.699799060821533","5.699799060821533"
"794","5.866064071655273","5.866064071655273","5.866064071655273"
"799","5.749197006225586","5.749197006225586","5.749197006225586"
"804","5.7393574714660645","5.7393574714660645","5.7393574714660645"
"809","5.892570495605469","5.892570495605469","5.892570495605469"
"815","6.048795223236084","6.048795223236084","6.048795223236084"
"820","6.031124591827393","6.031124591827393","6.031124591827393"
"825","6.263051986694336","6.263051986694336","6.263051986694336"
"831","5.921285152435303","5.921285152435303","5.921285152435303"
"836","5.807229042053223","5.807229042053223","5.807229042053223"
"841","6.120481967926025","6.120481967926025","6.120481967926025"
"847","5.653815269470215","5.653815269470215","5.653815269470215"
